name	2016-05-12T00:00:00.000Z	2016-05-13T00:00:00.000Z	2016-05-14T00:00:00.000Z	2016-05-15T00:00:00.000Z	2016-05-16T00:00:00.000Z	2016-05-17T00:00:00.000Z	2016-05-18T00:00:00.000Z	2016-05-19T00:00:00.000Z	2016-05-20T00:00:00.000Z	2016-05-21T00:00:00.000Z	2016-05-22T00:00:00.000Z	2016-05-23T00:00:00.000Z	2016-05-24T00:00:00.000Z	2016-05-25T00:00:00.000Z	2016-05-26T00:00:00.000Z	2016-05-27T00:00:00.000Z	2016-05-28T00:00:00.000Z
CVE-2016-1810	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
CVE-2016-1811	0	0	0	0	1	1	0	0	0	3	2	1	1	1	0	0	0
CVE-2016-1812	0	0	0	0	0	0	1	0	0	3	2	1	1	1	0	0	0
CVE-2016-1813	0	0	0	0	0	0	0	0	1	3	2	1	1	1	0	0	0
CVE-2016-1814	0	0	0	0	0	0	1	0	1	3	2	1	1	1	0	0	0
CVE-2016-1815	0	0	0	0	0	0	0	0	1	3	2	1	1	1	0	0	0
CVE-2016-1816	0	0	0	0	0	0	1	0	1	3	2	1	1	1	0	0	0
CVE-2016-1817	0	0	0	0	0	0	0	0	1	3	2	1	1	1	0	0	0
CVE-2016-1818	0	0	0	0	0	0	1	0	1	3	2	1	1	1	0	0	0
CVE-2016-1819	0	0	0	0	0	0	0	0	1	3	2	1	1	1	0	0	0
CVE-2016-1820	0	0	0	0	0	0	0	0	1	10	2	1	1	1	0	0	0
CVE-2016-1821	0	0	0	0	0	0	0	0	1	3	2	1	1	1	0	0	0
CVE-2016-1822	0	0	0	0	0	0	0	0	1	3	2	1	1	1	0	0	0
CVE-2016-1823	0	0	0	0	0	0	0	0	1	3	2	1	1	1	0	0	0
CVE-2016-1824	0	0	0	0	77	32	4	0	3	5	4	1	1	1	1	0	0
CVE-2016-1825	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
CVE-2016-1826	0	0	0	0	0	0	0	0	1	4	2	1	1	1	0	0	0
