name	2016-05-12T00:00:00.000Z	2016-05-13T00:00:00.000Z	2016-05-14T00:00:00.000Z	2016-05-15T00:00:00.000Z	2016-05-16T00:00:00.000Z	2016-05-17T00:00:00.000Z	2016-05-18T00:00:00.000Z	2016-05-19T00:00:00.000Z	2016-05-20T00:00:00.000Z	2016-05-21T00:00:00.000Z	2016-05-22T00:00:00.000Z	2016-05-23T00:00:00.000Z	2016-05-24T00:00:00.000Z	2016-05-25T00:00:00.000Z	2016-05-26T00:00:00.000Z	2016-05-27T00:00:00.000Z	2016-05-28T00:00:00.000Z
CVE-2016-1815	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1816	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1817	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1818	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1819	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1820	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1821	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1822	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1823	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1824	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1825	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1826	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1827	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1828	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1829	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1830	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1831	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1832	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1833	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1834	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1835	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1836	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1837	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1838	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1839	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1840	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1841	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1842	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1843	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1844	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1846	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1847	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1848	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1849	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1850	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1851	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1852	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1853	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1854	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1855	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1856	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1857	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1858	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1859	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-1886	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CVE-2016-1887	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CVE-2016-2015	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2016	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2077	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CVE-2016-2099	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-2100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-2151	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CVE-2016-2152	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
