date	-4	-3	-2	-1	published	1	2	3	4
CVE-2016-3674	0	0	0	0	1	3	0	6	1
CVE-2016-3693	0	0	0	0	2	6	0	1	0
CVE-2016-3705	0	0	0	0	1	3	0	3	1
CVE-2016-3719	0	0	0	0	1	0	0	0	0
CVE-2016-3721	0	0	0	0	2	3	3	3	1
CVE-2016-3722	0	0	0	0	2	3	3	1	1
CVE-2016-3723	0	0	0	0	2	4	3	1	1
CVE-2016-3724	0	0	0	0	2	8	3	1	1
CVE-2016-3725	0	0	0	0	2	7	3	1	1
CVE-2016-3726	0	0	0	0	2	7	4	1	1
CVE-2016-3727	0	0	0	0	2	7	5	1	4
CVE-2016-3728	0	0	0	2	2	3	0	0	3
CVE-2016-3739	0	0	12	0	3	18	2	1	1
CVE-2016-3958	0	0	0	0	1	3	0	4	0
CVE-2016-3959	0	0	0	0	1	3	3	4	0
CVE-2016-4001	0	0	0	0	2	3	2	4	0
CVE-2016-4037	0	0	0	0	2	3	0	4	0
CVE-2016-4049	0	0	0	0	2	3	0	3	0
CVE-2016-4070	0	0	0	0	4	2	2	0	0
CVE-2016-4071	0	0	0	0	4	2	2	0	3
CVE-2016-4072	0	0	0	0	4	2	3	0	3
CVE-2016-4073	0	0	0	0	5	2	3	0	0
CVE-2016-4087	0	0	0	0	2	7	1	4	0
CVE-2016-4342	0	0	0	0	0	3	0	0	4
CVE-2016-4343	0	0	0	0	0	3	0	0	3
CVE-2016-4344	0	0	0	0	0	3	0	0	3
CVE-2016-4345	0	0	0	0	0	3	0	0	3
CVE-2016-4346	0	0	0	0	0	3	0	0	3
CVE-2016-4348	0	0	0	0	2	7	1	0	3
CVE-2016-4425	0	0	0	0	2	14	1	3	1
CVE-2016-4439	0	0	0	2	3	9	0	2	5
CVE-2016-4441	0	0	0	4	3	9	1	1	5
CVE-2016-4480	0	0	0	0	2	16	6	1	4
CVE-2016-4482	0	0	0	1	1	3	3	1	0
CVE-2016-4485	0	0	0	0	1	3	3	1	0
CVE-2016-4486	0	0	0	0	1	2	3	1	0
CVE-2016-4537	0	0	0	0	0	7	1	0	4
CVE-2016-4538	0	0	0	0	0	7	1	0	3
CVE-2016-4539	0	0	0	0	0	8	2	1	3
CVE-2016-4540	0	0	0	0	0	8	0	0	0
CVE-2016-4541	0	0	0	0	0	8	0	0	0
CVE-2016-4542	0	0	0	0	0	15	7	1	0
CVE-2016-4543	0	0	0	0	0	15	1	0	0
CVE-2016-4544	0	0	0	0	0	15	5	0	0
CVE-2016-4557	0	0	0	0	1	3	3	1	0
CVE-2016-4558	0	0	0	0	1	3	3	1	0
CVE-2016-4565	0	0	0	0	1	4	3	1	0
CVE-2016-4566	0	0	0	0	0	15	3	2	4
CVE-2016-4567	0	0	0	0	0	23	6	1	4
CVE-2016-4568	0	0	0	0	1	3	4	1	0
CVE-2016-4569	0	0	0	0	2	3	3	1	0
CVE-2016-4576	0	0	0	0	2	7	0	3	0
CVE-2016-4577	0	0	0	0	2	10	3	4	0
CVE-2016-4578	0	0	0	0	2	4	4	1	0
CVE-2016-4580	0	0	0	0	2	3	4	1	0
CVE-2016-4581	0	0	0	0	4	4	3	1	0
CVE-2016-4782	0	0	0	0	2	10	3	3	0
CVE-2016-4783	0	0	0	0	2	14	2	3	0
CVE-2016-4794	0	0	0	0	4	3	4	1	0
CVE-2016-4805	0	0	0	0	4	3	4	1	0
CVE-2016-4913	0	0	0	0	5	4	5	1	0
CVE-2016-4951	0	0	0	0	5	4	5	1	0
